title,key
The converter fails to properly convert null to array types,FELIX-6100
"For ServiceUnavailableFilter, allow to retrieve the html message from file URL or classpath",FELIX-6099
Avoid ClassNotFound exception in log when bundle rootcause is not installed,FELIX-6098
Improve startup behaviour of ServiceUnavailableFilter for low start levels,FELIX-6097
SCR fails if the Java Runtime Environment does not support permissions,FELIX-6096
Felix connect is unable to get resources,FELIX-6095
Missing HttpService Capability,FELIX-6094
Missing UserAdmin Capability,FELIX-6093
Missing Framework Capabilities,FELIX-6092
Permissions do not declare a CapabilityPermission for `osgi.implementation`,FELIX-6091
No way to provide non-override-able instructions to maven-bundle-plugin,FELIX-6090
"If a HC returns status TEMPORARILY_UNAVAILABLE for a long time, the HC executor should return CRITICAL ",FELIX-6089
NPE in LoggerImpl when formatted logger called with null or empty arguments ,FELIX-6088
Add logging info when fragment bundle cannot be resolved,FELIX-6087
Jetty Statistics can be exposed via enabling MBeans but they are never wired up,FELIX-6086
Jetty OSGI MetaType Provider Contains Duplicate Key,FELIX-6085
[systemready] Guard monitor against NPE with a try-catch,FELIX-6084
NPE running systemready,FELIX-6083
Add telnet server to gogo-jline,FELIX-6082
Upgrade bndlib to 4.2.0 in order to properly calculate osgi.ee for embedded dependencies,FELIX-6081
HttpSessionListeners ain't getting triggered,FELIX-6080
Web Console memory usage page does not display information on Java 11,FELIX-6079
Add an option to silently ignore some project types instead of displaying a warning,FELIX-6078
Wrong state check in LoggerFactory.getLogger,FELIX-6077
Warning about split packages with JPMS module dependencies,FELIX-6076
Upgrade to JDK 8,FELIX-6075
Check for stale input and avoid recomputing the manifest if no changes,FELIX-6074
Upgrade to Maven 3,FELIX-6073
prevent NullPointerException in Healthcheck ScriptEnginesTracker,FELIX-6072
healthcheck.annotation.jar should be a bundle,FELIX-6071
Provide Log Stream Provider implementation,FELIX-6070
SCR detects cyclic dependency for dynamically bound service,FELIX-6069
Update Jetty to 9.4.15.v20190215,FELIX-6068
ClassLoading and getService can fail unpredictably due to interrupts,FELIX-6067
Duplicate registration of ConfigurationAdmin from PersistenceManagerTracker,FELIX-6066
The Converter doesn't support Wildcard types,FELIX-6065
Allow leniency when converting from DTO-like types with no public no-args constructor,FELIX-6064
Avoid using reflection operations which require permissions,FELIX-6063
Coordination is not checked if its terminated,FELIX-6062
Configuration Admin uses getDeclaredMethods without permission,FELIX-6061
addMavenDescriptor doesn't work on the execution level,FELIX-6060
Improve usability for ConfigurationPlugins,FELIX-6059
Add Bundle-Activator metadata back to gogo-jline,FELIX-6058
Converter doesn't properly handle PREFIX_ in marker annotations,FELIX-6057
SCR exports promises,FELIX-6056
NullPointerException possible because ServiceReference.getBundle() can return null,FELIX-6055
HC Servlet rendering for json/verbose.txt is broken if property hc.name is missing,FELIX-6054
JMX Bean log should INFO/DEBUG level correctly,FELIX-6053
Ensure MBeans are registered also for legacy HCs,FELIX-6052
Connect: Add a way to register bundles without starting them,FELIX-6051
Use abstract class for PrototypeRefPair implementations for Single vs. Multiple case,FELIX-6050
Listeners registered with boolean property are ignored,FELIX-6049
Could not obtain lock,FELIX-6048
Delegate timezone and date format properties to Jetty,FELIX-6047
gogo shell interrupts wrong thread on Activator stop ,FELIX-6046
FileInstall creates bundles from directories,FELIX-6045
Component deactivation does not cause reference services to be ungotten,FELIX-6044
ClassNotFoundException org.osgi.util.function.Function,FELIX-6043
Lists are not recognized as typed properties,FELIX-6042
scr gogo commands require gogo runtime to be present when scr resolves,FELIX-6041
Felix Web Console: Configuration Manager does only expose OCD name which does not allow to disambiguate multiple designates pointing to the same OCD,FELIX-6040
"Check for ""webconsole.configurationFactory.nameHint"" property for configuration factories",FELIX-6039
"Need gogo command, runtime, and shell to support java 7 ",FELIX-6038
Commons FileUpload 1.4 + Apache Felix Bundle WebConsole,FELIX-6037
Race condition prevents optional/greedy ref setter method from being called,FELIX-6036
Allow urlhandlers to create urls for jrt protocol without an add-opens,FELIX-6035
Gogo JLine requirement doesn't allow to embed gogo.jline,FELIX-6034
wc command should be compliant with posix ones,FELIX-6033
Embed-Dependency for relocated dependencies,FELIX-6032
Converter is not working properly when the target is an interface that extends others,FELIX-6031
@Header in gogo.jline causing maven-bundle-plugin failure,FELIX-6030
Felix Http Jetty does not have a service capability for the HttpService,FELIX-6029
osgicheck-maven-plugin: Implement checks for DS field injection,FELIX-6028
Embed jul-to-slf4j bridge because who doesn't want jul fixed up properly,FELIX-6027
SCR command problems,FELIX-6026
Create ScriptedHealthCheck,FELIX-6025
Create HttpRequestsCheck ,FELIX-6024
SCR bnd plugin sometimes fails with IncompatibleClassChangeError: Implementing class,FELIX-6023
SCR 2.0.16 maintenance release,FELIX-6022
Remote shell doesn't work with Gogo,FELIX-6021
"Converter could not convert to Interfaces, which only has methods from inherited Interfaces",FELIX-6020
Provide a bnd plugin to remove header parameters,FELIX-6019
Servlet Filter to answer arbitrary http requests with 503 if certain HC tags are in non-OK status,FELIX-6018
Ongoing deployment servlet filter that controls a dynamic health check ,FELIX-6017
Clean up util package in Health Check API,FELIX-6016
IndexOutOfBoundsException due a missing HostNamespace.HOST_NAMESPACE,FELIX-6015
Implement checks in system ready as Health Checks,FELIX-6014
Create annotation for Web Console Plugins leveraging the OSGi R7 component property types,FELIX-6013
"Introduce module ""generalchecks"" with basic general purpose checks",FELIX-6012
"Introduce tag ""default"" to be used if no tags are passed to health check executor",FELIX-6011
"Allow multiple instances of HC servlets with configured presets for timeout, tags, format",FELIX-6010
Metatype AD empty String default value,FELIX-6009
ErrorHandlers should be applied in reverse order,FELIX-6008
create a gogo bom,FELIX-6007
errorHandler not consulted for conversions implemented via proxies,FELIX-6006
Introduce result status TEMPORARILY_UNAVAILABLE for health checks,FELIX-6005
Create a health check annotation based on OSGi R7 component property types,FELIX-6004
Add some resolver checks to make sure @RequireGogo annotation works for both jline and shell,FELIX-6003
Remove legacy code in Gogo Command,FELIX-6002
cleanup compiler warnings,FELIX-6001
cleanup compiler warnings,FELIX-6000
cleanup compiler warnings,FELIX-5999
NPE in Resolver checkPackageSpaceConsistency,FELIX-5998
Hashcode check doesn't work with fragment,FELIX-5997
Remove generic parameter in DM Component interface,FELIX-5996
HttpService HttpServiceController should stop whiteboardManager before httpServicefactory,FELIX-5995
endpoint property for host 0.0.0.0 not resolved,FELIX-5994
"Depending on how Maven resolves dependencies, Embed-Dependency may miss some dependencies",FELIX-5993
Do not use a global changelog for all dm modules,FELIX-5992
DM annotation scanner debug messages are logged in warn,FELIX-5991
DM ServiceTracker memory leak,FELIX-5990
java.lang.IllegalArgumentException from AbstractLogger.format when logging debug message,FELIX-5989
[BundleRepository] Implement specification version 1.1,FELIX-5988
Slow ServiceComponentRuntime with delivering ServiceReferenceDTOs,FELIX-5987
FielInstall logs ClosedWatchServiceException on Windows,FELIX-5986
Change the hardcoded WebConsole password,FELIX-5985
Allow registration of (dynamic) capabilities at runtime,FELIX-5984
Expose capabilities from (Stateful) Resolver,FELIX-5983
MemoryUsage plugin doesn't support Java 10,FELIX-5982
Include some converter rules to turn easier to deal with complex json configurations,FELIX-5981
Maven Bundle Plugin Regression: incorrect filtering,FELIX-5980
Felix Security: Support custom permissions that imply other permissions,FELIX-5979
Felix framework unable to retrieve custom URL handlers when security is on,FELIX-5978
Immediately deliver automatic resolution warning when finding imacting resolution issues,FELIX-5977
Deadlock can occur when loading class in Permissions.java,FELIX-5976
URLHandlersStreamHandlerProxy - OPEN_CONNECTION_PROXY null,FELIX-5975
Prototype scope references are not released on deactivation,FELIX-5974
fix resolving issues,FELIX-5973
prevent ArrayIndexOutOfBoundsException while resolving,FELIX-5972
No warning should be emitted for Import-Packages pointing to javax.* being part of JRE,FELIX-5971
Add requirement & capabilities model so gogo can be resolved,FELIX-5970
remove transitive dependencies from gogo command,FELIX-5969
Posix 'ls' command ignores .. unless -a is specified,FELIX-5968
DM does not support java9+,FELIX-5967
NPE at RuntimeDTOBuilder.java:74,FELIX-5966
SCR is using the standard DTOs for the scr:info/list commands whose output is useless,FELIX-5965
TLS doesn't work for anonymous pages,FELIX-5964
Gogo runtime should use named executor threads,FELIX-5963
Exception during event processing leaves CM threads alive and holding the JVM running during framework shutdown,FELIX-5962
Extract root cause analysis into its own project,FELIX-5961
Do not supply MD5 checksum,FELIX-5960
Exception on changecount timer timeout,FELIX-5959
