title,key
Updating incompatible issue,HADOOP-16519
Updating incompatible issue,HADOOP-16518
Allow optional mutual TLS in HttpServer2,HADOOP-16517
Upgrade Wildfly-11.0.0.Beta1 to a stable version with no CVEs,HADOOP-16516
Update the link to compatibility guide,HADOOP-16515
Current/stable documentation should link to Hadoop 3,HADOOP-16514
[hadoop-tools] Fix order of actual and expected expression in assert statements,HADOOP-16512
[hadoop-hdfs] Fix order of actual and expected expression in assert statements,HADOOP-16511
[hadoop-common] Fix order of actual and expected expression in assert statements,HADOOP-16510
[hadoop-mapreduce-project] Fix order of actual and expected expression in assert statements,HADOOP-16509
[hadoop-yarn-project] Fix order of actual and expected expression in assert statements,HADOOP-16508
S3Guard fsck: Add option to configure severity (level) for the scan,HADOOP-16507
Create proper documentation for MetricLinkedBlockingQueue,HADOOP-16506
Add ability to register custom signer with AWS SignerFactory,HADOOP-16505
Increase ipc.server.listen.queue.size default from 128 to 256,HADOOP-16504
[JDK11] TestLeafQueue tests are failing due to WrongTypeOfReturnValue,HADOOP-16503
Add fsck to S3A tests where additional diagnosis is needed,HADOOP-16502
s3guard auth path checks only check against unqualified source path,HADOOP-16501
S3ADelegationTokens to only log at debug on startup,HADOOP-16500
S3A retry policy to be exponential,HADOOP-16499
AzureADAuthenticator cannot authenticate in china,HADOOP-16498
Apply HDDS-1870 (ConcurrentModification at PrometheusMetricsSink) to Hadoop common,HADOOP-16496
Fix invalid metric types in PrometheusMetricsSink,HADOOP-16495
Add SHA-256 or SHA-512 checksum to release artifacts to comply with the release distribution policy,HADOOP-16494
S3AFilesystem.initiateRename() can skip check on dest.parent status if src has same parent,HADOOP-16493
Support HuaweiCloud Object Storage - as a file system in Hadoop,HADOOP-16492
Upgrade jetty version to 9.3.27,HADOOP-16491
S3GuardExistsRetryPolicy handle FNFE eventual consistency better,HADOOP-16490
S3Guard operations log has tombstone/PUT swapped,HADOOP-16489
Remove JsonSerialization from hadoop-common,HADOOP-16488
Update jackson-databind to 2.9.9.2,HADOOP-16487
Hadoop Credential Provider to support more secure key store types,HADOOP-16486
Remove dependency on jackson,HADOOP-16485
S3A to warn or fail if S3Guard is disabled,HADOOP-16484
S3Guard fsck: Check metadata consistency from metadatastore to S3 (log),HADOOP-16483
S3A doesn't actually verify paths have the correct authority,HADOOP-16482
ITestS3GuardDDBRootOperations.test_300_MetastorePrune needs to set region,HADOOP-16481
S3 Select Exceptions are not being converted to IOEs,HADOOP-16480
ABFS FileStatus.getModificationTime returns localized time instead of UTC,HADOOP-16479
S3Guard bucket-info fails if the bucket location is denied to the caller,HADOOP-16478
S3A delegation token tests fail if fs.s3a.encryption.key set,HADOOP-16477
Intermittent failure of ITestS3GuardConcurrentOps#testConcurrentTableCreations,HADOOP-16476
high number of calls to UserGroupInformation loginUserFromSubject creates huge number of ticket renewal thread which leads to Out of Memory,HADOOP-16475
S3Guard ProgressiveRenameTracker to mark dest dir as authoritative on success,HADOOP-16474
S3Guard prune to only remove auth dir marker if files (not tombstones) are removed,HADOOP-16473
findbugs warning on LocalMetadataStore.ttlTimeProvider sync,HADOOP-16472
Restore (documented) fs.s3a.SharedInstanceProfileCredentialsProvider,HADOOP-16471
Make last AWS credential provider in default auth chain EC2ContainerCredentialsProviderWrapper,HADOOP-16470
Typo in s3a committers.md doc,HADOOP-16469
S3AFileSystem.getContentSummary() to use listFiles(recursive),HADOOP-16468
Clean up the Assert usage in tests,HADOOP-16466
S3AFileSystem.listLocatedStatus to LIST before HEAD,HADOOP-16465
S3Guard in auth mode doesn't raise AccessDeniedException on read of 0-byte file,HADOOP-16464
Migrate away from jsr305 jar,HADOOP-16463
"distcp error log not print out while use java client to call distcp.run method, only get -999 error code",HADOOP-16462
Regression: FileSystem cache lock parses XML within the lock,HADOOP-16461
ABFS: fix for Sever Name Indication (SNI),HADOOP-16460
"Backport [HADOOP-16266] ""Add more fine-grained processing time metrics to the RPC layer"" to branch-2",HADOOP-16459
LocatedFileStatusFetcher scans failing intermittently against S3 store,HADOOP-16458
Hadoop does not work with Kerberos config in hdfs-site.xml for simple security,HADOOP-16457
Refactor the S3A codebase into a more maintainable and testable form,HADOOP-16456
ABFS: Implement FileSystem.access() method,HADOOP-16455
Document how to share delegation tokens between multiple HttpFS servers,HADOOP-16454
Update how exceptions are handled in NetUtils,HADOOP-16453
Increase ipc.maximum.data.length default from 64MB to 128MB,HADOOP-16452
Update jackson-databind to 2.9.9.1,HADOOP-16451
"ITestS3ACommitterFactory failing, S3 client is not inconsistent",HADOOP-16450
"Allow an empty credential provider chain, separate chains for S3 and DDB",HADOOP-16449
Connection to Hadoop homepage is not secure,HADOOP-16448
Upgrade JUnit5 from 5.3.1 to 5.5.1 to support global timeout,HADOOP-16447
Rolling upgrade to Hadoop 3.2.0 breaks due to backward in-compatible change,HADOOP-16446
Allow separate custom signing algorithms for S3 and DDB,HADOOP-16445
Updating incompatible issue,HADOOP-16444
Improve help text for setfacl --set option,HADOOP-16443
Intermittent failure of ITestS3GuardToolDynamoDB#testDynamoDBInitDestroyCycle,HADOOP-16442
" if use -Dbundle.openssl=true, bundled with unnecessary libk5crypto.*",HADOOP-16441
Distcp can not preserve timestamp with -delete  option,HADOOP-16440
Upgrade bundled Tomcat in branch-2,HADOOP-16439
Introduce a config to control SSL Channel mode in Azure DataLake Store Gen1,HADOOP-16438
Documentation typos: fs.s3a.experimental.fadvise -> fs.s3a.experimental.input.fadvise,HADOOP-16437
Fix ITestS3GuardToolLocal#testInitNegativeRead test failure,HADOOP-16436
RpcMetrics should not be retained forever,HADOOP-16435
Expose an api which provides current active configurations set in .xml files.,HADOOP-16434
S3Guard: Filter expired entries and tombstones when listing with MetadataStore#listChildren,HADOOP-16433
Review S3A documentation to make sure it is consistent with the current codebase,HADOOP-16432
Remove useless log in IOUtils.java and ExceptionDiags.java,HADOOP-16431
S3AFilesystem.delete to incrementally update s3guard with deletions,HADOOP-16430
DynamoDBMetaStore deleteSubtree to delete leaf nodes first,HADOOP-16429
"Distcp don't make use of S3a Committers, be it magic or staging",HADOOP-16428
Downgrade INFO message on rm s3a root dir to DEBUG,HADOOP-16427
S3Guard fsck: Implement fixing mechanism for inconsistencies between S3 and MetadataStore,HADOOP-16426
S3Guard fsck: Export MetadataStore and S3 bucket hierarchy,HADOOP-16425
S3Guard fsck: Check internal consistency of the MetadataStore,HADOOP-16424
S3Guarld fsck: Check metadata consistency from S3 to metadatastore (log),HADOOP-16423
AbstractITCommitMRJob.testMRJob test failures,HADOOP-16422
ITestS3GuardOutOfBandOperations.deleteAfterTombstoneExpiryOobCreate failure,HADOOP-16421
"S3A returns 400 ""bad request"" on a single path within an S3 bucket",HADOOP-16420
Transient failure of ITestS3ARemoteFileChanged,HADOOP-16419
Fix checkstyle and findbugs warnings in hadoop-dynamometer,HADOOP-16418
abfs can't access storage account without password,HADOOP-16417
mark DynamoDBMetadataStore.deleteTrackingValueMap as final,HADOOP-16416
Speed up S3A test runs,HADOOP-16415
ITestS3AMiniYarnCluster fails on sequential runs with Kerberos error,HADOOP-16414
ITestS3ARemoteFileChanged doesn't overwrite test data creation,HADOOP-16413
S3a getFileStatus to update DDB if an S3 query returns etag/versionID,HADOOP-16412
Fix javadoc warnings in hadoop-dynamometer,HADOOP-16411
Hadoop 3.2 azure jars incompatible with alpine 3.9,HADOOP-16410
Allow authoritative mode on non-qualified paths,HADOOP-16409
"`hadoop classpath` does not export azure jars, only data lake",HADOOP-16408
Improve isolation of FS instances in S3A committer tests,HADOOP-16407
ITestDynamoDBMetadataStore.testProvisionTable times out intermittently,HADOOP-16406
Upgrade Wildfly Openssl version to 1.0.7.Final,HADOOP-16405
ABFS default blocksize change(256MB from 512MB),HADOOP-16404
Start a new statistical rpc queue and make the Reader's pendingConnection queue runtime-replaceable,HADOOP-16403
AAD MSI flow is broken for azure datalake component,HADOOP-16402
ABFS: port Azure doc to 3.2 branch,HADOOP-16401
Update Maven Clover plugin to 4.0.6,HADOOP-16400
Add missing getFileBlockLocations overload to FilterFileSystem,HADOOP-16399
Exports Hadoop metrics to Prometheus,HADOOP-16398
Hadoop S3Guard Prune command to support a -tombstone option.,HADOOP-16397
Allow authoritative mode on a subdirectory,HADOOP-16396
"when CallQueueManager swap queues, we should remove metrics about FCQ",HADOOP-16395
Support OpenTracing in DistCp,HADOOP-16394
"S3Guard init command uses global settings, not those of target bucket",HADOOP-16393
S3Guard Diff tool to list+ compare the etag and version fields,HADOOP-16392
Duplicate values in rpcDetailedMetrics,HADOOP-16391
Build fails due to bad use of '>' in javadoc,HADOOP-16390
Bump Apache Avro to 1.9.0,HADOOP-16389
Build fails: find: ./share: No such file or directory,HADOOP-16388
S3A openFile() options to allow etag/version to be set,HADOOP-16387
FindBugs warning in branch-2: GlobalStorageStatistics defines non-transient non-serializable instance field map,HADOOP-16386
"Namenode crashes with ""RedundancyMonitor thread received Runtime exception""",HADOOP-16385
S3A: Avoid inconsistencies between DDB and S3,HADOOP-16384
Pass ITtlTimeProvider instance in initialize method in MetadataStore interface,HADOOP-16383
Clock skew can cause S3Guard to think object metadata is out of date,HADOOP-16382
The JSON License is included in binary tarball via azure-documentdb:1.16.2,HADOOP-16381
S3A tombstones can confuse empty directory status,HADOOP-16380
S3AInputStream#unbuffer should merge input stream stats into fs-wide stats,HADOOP-16379
RawLocalFileStatus throws exception if a file is created and deleted quickly,HADOOP-16378
Moving logging APIs over to slf4j,HADOOP-16377
ABFS: Override access() to no-op for now,HADOOP-16376
ITestS3AMetadataPersistenceException failure,HADOOP-16375
Fix DistCp#cleanup called twice unnecessarily,HADOOP-16374
Fix typo in FileSystemShell#test documentation,HADOOP-16373
Fix typo in DFSUtil getHttpPolicy method,HADOOP-16372
Option to disable GCM for SSL connections when running on Java 8,HADOOP-16371
S3AFileSystem copyFile to propagate etag/version from getObjectMetadata to copy request,HADOOP-16370
Fix zstandard shortname misspelled as zts,HADOOP-16369
S3A list operation doesn't pick up etags from results,HADOOP-16368
ApplicationHistoryServer related testcases failing,HADOOP-16367
Fix TimelineReaderServer ignores ProxyUserAuthenticationFilterInitializer,HADOOP-16366
Upgrade jackson-databind to 2.9.9,HADOOP-16365
S3Guard table destroy to map IllegalArgumentExceptions to IOEs,HADOOP-16364
S3Guard DDB store prune() doesn't translate AWS exceptions to IOEs,HADOOP-16363
ITestS3GuardToolDynamoDB.testDynamoDBInitDestroyCycle fails if test bucket isn't on demand,HADOOP-16362
TestSecureLogins#testValidKerberosName fails on branch-2,HADOOP-16361
S3A NullPointerException: null uri host. This can be caused by unencoded / in the password string,HADOOP-16360
Bundle ZSTD native in branch-2,HADOOP-16359
