content,key
"Hello,

 

I have a sample JSF 2.3.3 application  that uses @ManagedProperty with a web socket observer class. This application throws a null pointer exception.  

In the createManagedProperty of the ManagedPropertyProducer class,  FacesContext.getCurrentInstance() returns null.

In the createManagedProperty method, if you catch the error and create a new facesContext via BeanProvider.getContextualReference, the example still won’t work. Is there any way around this error?

Or can anyone confirm that this example is not a valid use of ManagedProperty?  It doesn’t seem like it since the communication is going through web sockets and therefore isn’t hitting the Faces Servlet. 

 

Also, this application doesn't work with the mojarra 2.3 code either.

 

I’ve provided the sample application. 

Here is the stack trace:

java.lang.NullPointerException
     at org.apache.myfaces.cdi.managedproperty.ManagedPropertyProducer.createManagedProperty(ManagedPropertyProducer.java:83)
     at org.apache.myfaces.cdi.managedproperty.ManagedPropertyProducer.lambda$new$0(ManagedPropertyProducer.java:77)
     at org.apache.myfaces.cdi.util.AbstractDynamicProducer.create(AbstractDynamicProducer.java:97)
     at org.apache.webbeans.component.third.ThirdpartyBeanImpl.create(ThirdpartyBeanImpl.java:97)
     at org.apache.webbeans.context.DependentContext.getInstance(DependentContext.java:68)
     at org.apache.webbeans.context.AbstractContext.get(AbstractContext.java:125)
     at org.apache.webbeans.container.BeanManagerImpl.getReference(BeanManagerImpl.java:813)
     at org.apache.webbeans.container.BeanManagerImpl.getInjectableReference(BeanManagerImpl.java:673)

 

Thank you",MYFACES-4299
"This happens because `findComponent` is only diving into the component tree if it is not an instance of `NamingContainer`. From what I know the only exception is `UIForm` since it's the only one that has a the attribute `prependId`.

 

My solution would be to make the following change:
{code:java}
if (!(child instanceof NamingContainer) || 
  (child instanceof UIForm && !((UIForm) child).isPrependId()))
{
  ...
}
{code}
[https://github.com/apache/myfaces/blob/master/api/src/main/java/javax/faces/component/_ComponentUtils.java#L166-L173]

 

I'll create a Pull Request with these changes as soon as someone validates that this is really a bug and if anyone has any suggestions or requests like 'please don't forget to create a test on X and Y' or 'don't forget to also change version Z and W' I'll be more than happy to do it.

I had a bad experience on my previous contribution attempt but I still want to become and active contributor so if possible please tell me what are the next steps so I can have my contribution merged.",MYFACES-4298
"Hi.

It seems to be +no way+ to have stateless behavior in myfaces.
I'm using javax.faces.STATE_SAVING_METHOD = *client* in web.xml (... as also described in this post: [https://stackoverflow.com/questions/36650846/when-does-jsf-creates-a-session-what-does-it-puts-in-a-session-map|https://stackoverflow.com/questions/36650846/when-does-jsf-creates-a-session-what-does-it-puts-in-a-session-map)]) but myfaces always create a session to transfer the FacesContext encoding ( why ?)
I've noticed that it happens in *FaceletViewDeclarationLanguage* getResponseEncoding method.
I've already tested my code in mojarra (2.2 and 2.3) and it works fine (it don't creates any session if not +explicitly+ requested through a SessionScope or ViewScope Bean)
This is a big problem because any, simple, JSF (myfaces) page is virtually exposed to DOS or flooding attacks generating zombie sessions)
Does in myfaces exists a way (that I don't know) to manage stateless pages?

Thanks.

NC",MYFACES-4297
,MYFACES-4296
,MYFACES-4295
"After updating myfaces from 2.3.2 to 2.3.3 or 2.3.4, emoji characters are removed in partial updates of ajax calls. Reverting to the older build fixes the problem. Emojis are replaced by two spaces.",MYFACES-4294
"The method getAsObject correctly returns BigDecimal if the destination type of the value expression is BigDecimal, but returns Long if the destination type is BigInteger. This normally does not lead to problems because it will be converted when applying values, but results in an exception when there is a validation annotation for the attribute to be converted, because Long cannot be assigned to BigInteger.

I have created a pull request: https://github.com/apache/myfaces/pull/60",MYFACES-4293
"When deploying an application, the placement of the MANIFEST.MF file in a loose application xml can cause a java.lang.StringIndexOutOfBoundsException during MyFaces initialization. This problem occurs with the following path: /tmp/war/MANIFEST.MF 

This issue was solved in JSF 2.3 with MYFACES-4273, but not in JSF 2.2.

By moving the catch block to the outer try block in myfaces/view/facelets/util/Classpath.java, the StringIndexOutOfBoundsException will be caught, and the  faces initialization will continue normally.  

Stack Trace:

Caused by: java.lang.StringIndexOutOfBoundsException: String index out of range: 0
     at java.base/java.lang.String.substring(String.java:2628)
     at org.apache.myfaces.view.facelets.util.Classpath._searchFromURL(Classpath.java:246)
     at org.apache.myfaces.view.facelets.util.Classpath._searchResource(Classpath.java:119)
     at org.apache.myfaces.view.facelets.util.Classpath.search(Classpath.java:69)
     at org.apache.myfaces.config.DefaultFacesConfigResourceProvider.getMetaInfConfigurationResources(DefaultFacesConfigResourceProvider.java:90)
     at org.apache.myfaces.config.DefaultFacesConfigurationProvider.getClassloaderFacesConfig(DefaultFacesConfigurationProvider.java:312)
     … 21 more",MYFACES-4292
"There are 2 functions defined twice exacly in the same way in _Dom.js:
 * isFunctionNative
 * detectAttributes",MYFACES-4291
"I currently working on a prototype as quarkus module and MF startup itself takes ~4 seconds.
The reason is that parsing the faces-config with digester seems sometimes (very) slow.
I now replaced it with an DOM parser with similar pattern as digester and the starutp is now ~500ms.
It also removes a dependency and the new parser is even the same size (LOC) as the old...",MYFACES-4290
"Hello, 

I have an application that works with JSF 2.3.2, but doesn't work with JSF 2.3.3.  The RichFaces resources do not load.

I looked at the commits of what changed, and I've narrowed it down to this one: https://github.com/apache/myfaces/commit/cb75b5a6486c61c6bd3e3befc62cce58576f6be0 

This issue, from my understanding, is caused by incorrect mappings.  

After investigating, I noticed that getFacesServletRegistration returns a ServletRegistration that doesn't contain mappings to the resources. I believe this is because of the isFacesServlet check on line 53 of FacesServletMappingUtils.java (of the commit mentioned).   Prior to the commit, there was code to handle non-FacesServlet Mappings ( line 194-207 on  FacesServletMappingUtils.java ). 

I would appreciate any help into this.

Thank you.",MYFACES-4289
"Hi folks,

I have a tiny project which uses JSF 2.3, CDI and Tomcat 9.0.17.

I am trying to use <f:websocket> for the first time. I am using @Inject @Push in an application scoped bean.

I put an Observer to monitor the WebSocket events and I could realize that the socket is never being opened.

That is what I could realize when I access the page which contains the WebSocket tag:

EndpointImpl class - onOpen method:

config.getUserProperties().get(WebsocketConfigurator.WEBSOCKET_VALID) is always false.

WebsocketConfigurator class - modifyHandshake method:

websocketSessionBean is always being null, therefore WEBSOCKET_VALID is always being false.

I think it is important to mention that when I use javax.faces (from Glassfish) it works perfectly. However, I am working on a huge project which uses MyFaces, so I have to continue using it.

My dependencies in pom.xml are:
{code:java}
myfaces-api: 2.3.3
myfaces-impl: 2.3.3
tomcat-catalina: 9.0.17
weld-servlet-shaded: 3.1.0.Final
cdi-api: 2.0
primefaces: 7.0
javax.websocket-api: 1.1{code}
The maven project is attached.

*Reproduction steps:* Deploy it on a Tomcat 9.0.17, access [http://localhost:8080/poc/hello.xhtml|http://localhost:9090/poc/hello.xhtml] and click the button in the page.",MYFACES-4288
I've gotten this issue mixed up with another problem - this has been resolved in https://issues.apache.org/jira/browse/MYFACES-4267,MYFACES-4287
